date,state,death,deathIncrease,positive,positiveIncrease,recovered
3/3/2020,TX,,0,,0,
3/4/2020,TX,,0,0,0,
3/5/2020,TX,,0,0,0,
3/6/2020,TX,,0,5,5,
3/7/2020,TX,,0,5,0,
3/8/2020,TX,,0,5,0,
3/9/2020,TX,,0,12,7,
3/10/2020,TX,,0,15,3,
3/11/2020,TX,,0,18,3,
3/12/2020,TX,,0,22,4,
3/13/2020,TX,,0,22,0,
3/14/2020,TX,,0,22,0,
3/15/2020,TX,,0,56,34,
3/16/2020,TX,,0,56,0,
3/17/2020,TX,1,1,63,7,
3/18/2020,TX,2,1,82,19,
3/19/2020,TX,3,1,108,26,
3/20/2020,TX,5,2,175,67,
3/21/2020,TX,5,0,235,60,
3/22/2020,TX,5,0,263,28,
3/23/2020,TX,8,3,287,24,
3/24/2020,TX,9,1,712,425,
3/25/2020,TX,12,3,975,263,
3/26/2020,TX,18,6,1394,419,
3/27/2020,TX,23,5,1731,337,
3/28/2020,TX,27,4,2048,317,
3/29/2020,TX,34,7,2552,504,
3/30/2020,TX,34,0,2874,322,38
3/31/2020,TX,41,7,3266,392,38
4/1/2020,TX,58,17,3996,730,38
4/2/2020,TX,70,12,4665,669,38
4/3/2020,TX,90,20,5324,659,38
4/4/2020,TX,105,15,6112,788,38
4/5/2020,TX,127,22,6793,681,38
4/6/2020,TX,140,13,7273,480,38
4/7/2020,TX,154,14,8261,988,38
4/8/2020,TX,177,23,9353,1092,38
4/9/2020,TX,199,22,10230,877,1101
4/10/2020,TX,226,27,11671,1441,1366
4/11/2020,TX,254,28,12561,890,1617
4/12/2020,TX,271,17,13484,923,2014
4/13/2020,TX,287,16,13906,422,2269
4/14/2020,TX,318,31,14624,718,2580
4/15/2020,TX,364,46,15492,868,3150
4/16/2020,TX,393,29,16455,963,3677
4/17/2020,TX,428,35,17371,916,4190
4/18/2020,TX,453,25,18260,889,4806
4/19/2020,TX,477,24,18923,663,5334
4/20/2020,TX,495,18,19458,535,5706
4/21/2020,TX,517,22,20196,738,6486
4/22/2020,TX,543,26,21069,873,7341
4/23/2020,TX,561,18,21944,875,8025
4/24/2020,TX,593,32,22806,862,9156
4/25/2020,TX,623,30,23773,967,9986
4/26/2020,TX,648,25,24631,858,10763
